# PIPELINE DATA
# FITS FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# FLATFIELD FILE: CH_PR100010_TG023201_TU2019-10-06T09-40-30_SCI_RAW_SubArray_V0000.fits
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [0,60] (ppm): 15.894
# DISPERSION FOR 6 HOURS AVERAGE FOR POINTS [260,320] (ppm): 19.752
# FLUX	BKG_MODE	BKG_MEAN
1.285233108343371190e+07	6.344983404595855347e+01	8.956543412365725487e+01
1.286108782335146517e+07	5.786956298079306293e+01	8.884955458659054273e+01
1.285312008850306273e+07	5.836487215863918721e+01	8.745803876292592349e+01
1.286146323040368035e+07	5.827376143476899983e+01	8.615624283532009997e+01
1.285238656819588318e+07	5.908062398514377378e+01	8.581741806800249606e+01
1.285421659833476320e+07	5.384321947361308247e+01	8.290281198084672099e+01
1.285667568250253797e+07	5.358416964237942182e+01	8.366424640034732363e+01
1.285855911225905828e+07	5.564073672197842768e+01	8.468322940243628238e+01
1.285164195462190732e+07	5.954273675462960824e+01	8.411317961140537136e+01
1.285126876348993555e+07	5.999178285200628125e+01	8.548821174468665163e+01
1.285953390147862583e+07	5.652063558019700906e+01	8.455261825880469928e+01
1.285495607173120603e+07	5.876205800091670994e+01	8.420701153542607642e+01
1.285116620696751028e+07	5.435964272438376099e+01	8.422208878228649098e+01
1.285131214988070913e+07	6.030502764884706579e+01	8.417896082718411321e+01
1.285930920361559279e+07	5.237164210130652719e+01	8.378666309280988855e+01
1.285947053445691243e+07	5.494527497439505481e+01	8.413977410919838462e+01
1.285082551728262007e+07	5.216946783958242406e+01	8.358186138278820465e+01
1.285897468355552107e+07	4.786627422273856780e+01	8.419031574658038153e+01
1.284674397402097099e+07	5.544282452074963885e+01	8.380886005112044757e+01
1.285453502042793110e+07	5.256941332925298127e+01	8.367417958223127528e+01
1.285099861753873527e+07	5.499723843350110286e+01	8.341664039032808375e+01
1.285439965484069288e+07	5.285023010027121870e+01	8.348536753375169894e+01
1.285284843929483742e+07	5.782055664896412850e+01	8.441359823689037967e+01
1.285783796184716560e+07	5.325505775843819833e+01	8.381747707904798972e+01
1.285527339853647165e+07	6.086876999364189800e+01	8.455789084671093292e+01
1.284945987241086364e+07	5.961057125752052599e+01	8.454537992985835615e+01
1.285430536435798183e+07	5.469164392506377936e+01	8.326830644840951834e+01
1.304553752920516208e+07	5.854800654799397108e+01	4.193375570382360138e+02
1.301406255429404788e+07	5.592558413698630915e+01	4.236304310752983042e+02
1.304174318158935010e+07	4.690814226009869969e+01	4.275154680699299661e+02
1.305508615256475657e+07	4.716016202756107134e+01	4.230601850701276021e+02
1.305552544157226197e+07	5.791583765242238258e+01	4.186463944806581594e+02
1.303571504027105868e+07	4.981945543674139998e+01	4.198175899195971965e+02
1.302326951159664802e+07	4.940696606893003207e+01	4.106823805052230796e+02
1.303662750687424466e+07	5.572755748331332626e+01	4.256788446609485277e+02
1.306924700737973303e+07	5.664672091998399139e+01	4.198207259048224387e+02
1.304925033389522508e+07	4.899313039623273625e+01	4.195620030950789783e+02
1.301074597119921818e+07	5.519621169879028599e+01	4.233153912175044411e+02
1.305435916464236379e+07	5.586499859579294025e+01	4.243163590779795413e+02
1.304346160318817198e+07	5.817849678791730383e+01	4.103043526672222470e+02
1.292479802604188770e+07	4.202780972474113241e+01	2.027183368685281266e+02
1.285689974834282696e+07	5.400516065172348590e+01	8.224606464677432882e+01
1.285218287340075336e+07	5.167224235310042246e+01	8.368102848931243898e+01
1.284929594523015618e+07	5.575064912782570303e+01	8.353209414753212059e+01
1.286111059513135254e+07	5.396936158159398644e+01	8.454648719682290903e+01
1.285081500529953837e+07	5.199633682892081055e+01	8.329895605737841890e+01
1.285250877108552307e+07	5.592904414707781058e+01	8.370814836001696335e+01
1.284866376551986299e+07	5.562338045849237744e+01	8.363303281027174307e+01
1.285303066185017675e+07	5.745449412419560531e+01	8.423584824337486054e+01
1.285736565715944208e+07	5.225245247082927591e+01	8.455790681026489608e+01
1.285033437452177703e+07	5.872383863709477225e+01	8.440634498582001299e+01
1.284972895762277395e+07	5.547160527465133129e+01	8.444513092965506473e+01
1.285227770789760724e+07	5.702157001925107949e+01	8.376540014940883339e+01
1.284999769632787257e+07	5.858551989221180634e+01	8.370956366610896282e+01
1.285080555837095715e+07	5.641321275012101921e+01	8.454164669024787315e+01
1.285526709154995158e+07	5.111536016400043536e+01	8.469602660946733863e+01
1.285263255494223163e+07	5.538419199245539915e+01	8.616880175190443936e+01
1.286027673395388201e+07	5.303893803380547922e+01	8.649279742411596317e+01
1.285905783820029348e+07	5.290496226998466511e+01	8.825638524583355604e+01
1.285192070144154131e+07	6.063797832616973693e+01	8.991588522760999069e+01
1.285039989937023446e+07	6.382342741862152025e+01	9.171529205402015350e+01
1.285421355606325716e+07	6.723198892915378622e+01	9.313795666619768099e+01
1.284981532375730574e+07	6.509977778056936870e+01	9.529074237513056289e+01
1.285435416200424172e+07	7.098010138704921701e+01	9.651460121839267003e+01
1.285075213352292404e+07	7.056988795787798097e+01	9.711126786494493501e+01
1.284633243764603138e+07	6.975642930206001324e+01	9.742849340872798791e+01
1.285249599315579981e+07	6.542758665974021426e+01	9.773713544207106452e+01
1.284843631798233837e+07	6.807395109372228603e+01	9.804127483460263193e+01
1.285516915988911316e+07	7.062878016609209908e+01	9.820861124498746619e+01
1.285739044181646407e+07	6.915901158572668805e+01	9.938450718004270357e+01
1.285194733769874275e+07	6.935289171731535873e+01	9.825207211280508091e+01
1.285574349635672569e+07	6.472757342312596052e+01	9.866886608015940396e+01
1.285264533445209265e+07	7.113052167141975701e+01	9.723095357220078938e+01
1.285333902423301339e+07	7.163934082621827315e+01	9.895511849972540119e+01
1.283306745600772277e+07	7.343026320628088399e+01	9.855449513517199023e+01
1.283686467496520653e+07	7.028562059841743803e+01	9.774690548102356047e+01
1.282664334519584849e+07	7.120291500394432660e+01	9.780633716961180824e+01
1.281597956916386075e+07	7.158425184804374908e+01	9.705370465746806019e+01
1.281170533636716381e+07	6.518182195531215939e+01	9.695096202761705229e+01
1.279070267470603064e+07	6.679225987840338519e+01	9.893301501551103172e+01
1.278858607018591464e+07	6.979179150063674797e+01	9.779621564744840612e+01
1.277629075604859740e+07	6.435307420094281383e+01	9.757361525668176228e+01
1.277792908675158396e+07	6.586437840344326844e+01	9.733398406673073566e+01
1.276039617974582128e+07	6.742069329914799880e+01	9.699563400796854751e+01
1.275407014189641178e+07	7.069018041100402172e+01	9.757160434191199272e+01
1.275498384033365920e+07	6.350718950914799876e+01	9.857507497113466854e+01
1.274317080132507533e+07	6.985234608973833303e+01	9.925372537572958720e+01
1.274838864979137480e+07	6.659198162544859656e+01	9.888709560600301529e+01
1.274000743339631334e+07	6.950022699916530655e+01	9.938131539726923336e+01
1.274060619037336111e+07	6.644127962799115039e+01	9.897968105281049134e+01
1.273750459142849781e+07	6.953427263062151553e+01	9.822271402363681148e+01
1.273083407083042338e+07	7.131169979107362167e+01	9.689972540310863280e+01
1.273496386153068021e+07	7.161641136745500091e+01	9.768518425519746984e+01
1.272972621007633395e+07	7.036682474088796369e+01	9.746238939451417593e+01
1.272315799680831656e+07	6.415557761613399634e+01	9.717850021796984095e+01
1.272528129035053588e+07	6.482579487667875640e+01	9.445702493960166635e+01
1.272428925695874542e+07	6.642024454330069716e+01	9.375132365340017770e+01
1.272938429661918804e+07	6.022868640546222707e+01	9.195265655259736093e+01
1.272657486601529643e+07	6.041773488164946571e+01	8.971103941336191667e+01
1.272538620768888667e+07	5.881270377944630923e+01	8.786862323126240426e+01
1.272464991323056072e+07	5.828147430980389032e+01	8.648873659068135566e+01
1.272048008452295326e+07	5.869767150148957313e+01	8.580691517212329700e+01
1.271997463547402062e+07	5.383906232390918234e+01	8.460406413034102968e+01
1.271932980820164271e+07	5.471277055003380241e+01	8.485926931702955756e+01
1.271613054749766737e+07	5.508531464427203161e+01	8.382335395062592909e+01
1.271795242620781437e+07	5.584620846565488250e+01	8.340629397345836082e+01
1.271338750810639560e+07	5.363720537557685475e+01	8.427314104028829433e+01
1.271581448740654811e+07	5.054643335349901889e+01	8.438769641207213112e+01
1.270912128254290298e+07	5.576895806909450215e+01	8.328521102979692614e+01
1.271814247074499354e+07	5.384322016768266650e+01	8.400134091935149172e+01
1.270086811720432900e+07	5.058177845665287009e+01	8.338016161756634403e+01
1.270844192099420354e+07	5.528384676219361182e+01	8.241365130735486844e+01
1.271410940937552974e+07	5.212454460503950315e+01	8.366937860824243955e+01
1.271257048726610839e+07	5.546800598613688038e+01	8.300222800154371328e+01
1.271039777603836730e+07	5.128014632229997005e+01	8.356014522401058287e+01
1.270156498223790154e+07	5.122802883265666196e+01	8.367873456518638875e+01
1.270665656178916432e+07	5.340530561933552178e+01	8.347812028188089073e+01
1.270973025167590939e+07	5.143934999457923141e+01	8.340348951797848542e+01
1.271330521624892019e+07	4.846635655200787340e+01	8.404773034073851079e+01
1.270370995698083565e+07	6.097225721436089430e+01	8.329419312223967609e+01
1.270820716118802130e+07	5.771742964347108540e+01	8.363864901445060696e+01
1.270248711088466272e+07	5.126406053391338702e+01	8.250334087407745187e+01
1.270519569063297287e+07	5.501180990974921770e+01	8.365124336013413142e+01
1.270734026503452286e+07	5.524515655084215382e+01	8.380213442452827621e+01
1.271079504974525049e+07	4.962221752357419291e+01	8.402532146258079138e+01
1.269981470213759318e+07	5.837969368962407657e+01	8.380525650199491849e+01
1.270691706343988702e+07	5.435160237357497692e+01	8.390556040677145688e+01
1.269639775758127496e+07	5.846788454799323631e+01	8.413106486994902866e+01
